#POPG T298K
# 0 = gamma = M_G3N6C ...
# 1 = beta  = M_G3C5H ...
# 2 = alpha = M_G3C4H ...
# 3 = g3 = M_G3H ...
# 4 = g2 = M_G2H ...
# 5 = g1 = M_G1H ...
#label carbon hydrogen      Order_Parameter_1    error
#sn-1 = palmitoyl
M_G1C3_M M_G1C3H1_M -0.2129
M_G1C3_M M_G1C3H2_M -0.2129
M_G1C4_M M_G1C4H1_M -0.2129
M_G1C4_M M_G1C4H2_M -0.2129
M_G1C5_M M_G1C5H1_M -0.2260
M_G1C5_M M_G1C5H2_M -0.2260
M_G1C6_M M_G1C6H1_M -0.2477
M_G1C6_M M_G1C6H2_M -0.2477
M_G1C7_M M_G1C7H1_M -0.2434
M_G1C7_M M_G1C7H2_M -0.2434
M_G1C8_M M_G1C8H1_M -0.2347
M_G1C8_M M_G1C8H2_M -0.2347
M_G1C9_M M_G1C9H1_M -0.2303
M_G1C9_M M_G1C9H2_M -0.2303
M_G1C10_M M_G1C10H1_M  -0.2303
M_G1C10_M M_G1C10H2_M  -0.2303
M_G1C11_M M_G1C11H1_M  -0.2173
M_G1C11_M M_G1C11H2_M  -0.2173
M_G1C12_M M_G1C12H1_M  -0.1956
M_G1C12_M M_G1C12H2_M  -0.1956
M_G1C13_M M_G1C13H1_M  -0.1478
M_G1C13_M M_G1C13H2_M  -0.1478
M_G1C14_M M_G1C14H1_M  -0.1478
M_G1C14_M M_G1C14H2_M  -0.1478
M_G1C15_M M_G1C15H1_M  -0.1217
M_G1C15_M M_G1C15H2_M  -0.1217
M_G1C16_M M_G1C16H1_M  -0.0913
M_G1C16_M M_G1C16H2_M  -0.0913
M_G1C17_M M_G1C17H1_M  -0.0217
M_G1C17_M M_G1C17H2_M  -0.0217
M_G1C17_M M_G1C17H3_M  -0.0217
#sn-2 = oleoyl
M_G2C3_M M_G2C3H1_M  -0.1260
M_G2C3_M M_G2C3H2_M  -0.0782
M_G2C4_M M_G2C4H1_M  -0.2129
M_G2C4_M M_G2C4H2_M  -0.2129
M_G2C5_M M_G2C5H1_M  -0.2086
M_G2C5_M M_G2C5H2_M  -0.2086
M_G2C6_M M_G2C6H1_M  -0.2260
M_G2C6_M M_G2C6H2_M  -0.2260
M_G2C7_M M_G2C7H1_M  -0.2086
M_G2C7_M M_G2C7H2_M  -0.2086
M_G2C8_M M_G2C8H1_M  -0.2129
M_G2C8_M M_G2C8H2_M  -0.2129
M_G2C9_M M_G2C9H1_M  -0.1478
M_G2C9_M M_G2C9H2_M  -0.1478
M_G2C10_M M_G2C10H1_M  -0.1217
M_G2C11_M M_G2C11H1_M  -0.0435
M_G2C12_M M_G2C12H1_M  -0.0913
M_G2C12_M M_G2C12H2_M  -0.0913
M_G2C13_M M_G2C13H1_M  -0.1478
M_G2C13_M M_G2C13H2_M  -0.1478
M_G2C14_M M_G2C14H1_M  -0.1478
M_G2C14_M M_G2C14H2_M  -0.1478
M_G2C15_M M_G2C15H1_M  -0.1391
M_G2C15_M M_G2C15H2_M  -0.1391
M_G2C16_M M_G2C16H1_M  -0.1391
M_G2C16_M M_G2C16H2_M  -0.1391
M_G2C17_M M_G2C17H1_M  -0.1217
M_G2C17_M M_G2C17H2_M  -0.1217
M_G2C18_M M_G2C18H1_M  -0.0913
M_G2C18_M M_G2C18H2_M  -0.0913
M_G2C19_M M_G2C19H1_M  -0.0217
M_G2C19_M M_G2C19H2_M  -0.0217
M_G2C19_M M_G2C19H3_M  -0.0217
