### SIGNS ARE FROM SIMULATIONS, NOT EXPERIMENTAL!

M_G3C4_M M_G3C4H1_M 0.035
M_G3C4_M M_G3C4H2_M 0.040
M_G3C5_M M_G3C5H1_M -0.035
M_G3C5_M M_G3C5H2_M -0.035
M_G3N6C1_M M_G3N6C1H1_M  0.008
M_G3N6C1_M M_G3N6C1H2_M  0.008
M_G3N6C1_M M_G3N6C1H3_M  0.008
M_G3N6C2_M M_G3N6C2H1_M  0.008
M_G3N6C2_M M_G3N6C2H2_M  0.008
M_G3N6C2_M M_G3N6C2H3_M  0.008
M_G3N6C3_M M_G3N6C3H1_M  0.008
M_G3N6C3_M M_G3N6C3H2_M  0.008
M_G3N6C3_M M_G3N6C3H3_M  0.008
