#q[1/A]     |F(q)|[e/A^2]
     0.06519090            0.8994512
     0.06620710            0.9382141
     0.06722350            0.9771616
     0.06823970             1.016269
     0.06925590             1.055524
     0.07027210             1.094910
     0.07128830             1.134413
     0.07230450             1.174009
     0.07332070             1.213686
     0.07433700             1.253426
     0.07535320             1.293215
     0.07636940             1.333030
     0.07738560             1.372857
     0.07840190             1.412682
     0.07941820             1.452485
     0.08043440             1.492247
     0.08145060             1.531954
     0.08246680             1.571591
     0.08348300             1.611138
     0.08449920             1.650578
     0.08551540             1.689895
     0.08653180             1.729077
     0.08754800             1.768099
     0.08856420             1.806948
     0.08958030             1.845609
     0.09059670             1.884068
     0.09161290             1.922302
     0.09262910             1.960299
     0.09364530             1.998043
     0.09466150             2.035518
     0.09567770             2.072705
     0.09669390             2.109591
     0.09771020             2.146163
     0.09872650             2.182403
     0.09974270             2.218293
      0.1007590             2.253826
      0.1017750             2.288970
      0.1027910             2.323721
      0.1038080             2.358099
      0.1048240             2.392023
      0.1058400             2.425511
      0.1068560             2.458551
      0.1078725             2.491142
      0.1088890             2.523257
      0.1099050             2.554866
      0.1109210             2.585971
      0.1119370             2.616560
      0.1129540             2.646649
      0.1139700             2.676167
      0.1149860             2.705131
      0.1160020             2.733528
      0.1170185             2.761362
      0.1180350             2.788606
      0.1190510             2.815235
      0.1200670             2.841253
      0.1210830             2.866647
      0.1221000             2.891434
      0.1231160             2.915552
      0.1241320             2.939018
      0.1251480             2.961820
      0.1261645             2.983960
      0.1271810             3.005418
      0.1281970             3.026176
      0.1292130             3.046235
      0.1302295             3.065596
      0.1312460             3.084242
      0.1322620             3.102155
      0.1332780             3.119339
      0.1342940             3.135786
      0.1353110             3.151503
      0.1363270             3.166456
      0.1373430             3.180652
      0.1383590             3.194086
      0.1393755             3.206759
      0.1403920             3.218658
      0.1414080             3.229775
      0.1424240             3.240109
      0.1434400             3.249658
      0.1444570             3.258426
      0.1454730             3.266391
      0.1464890             3.273560
      0.1475050             3.279929
      0.1485215             3.285500
      0.1495380             3.290265
      0.1505540             3.294224
      0.1515700             3.297373
      0.1525860             3.299715
      0.1536030             3.301249
      0.1546190             3.301971
      0.1556350             3.301883
      0.1566510             3.300985
      0.1576680             3.299276
      0.1586840             3.296759
      0.1597000             3.293435
      0.1607160             3.289304
      0.1617325             3.284368
      0.1627490             3.278627
      0.1637650             3.272090
      0.1647810             3.264755
      0.1657970             3.256627
      0.1668140             3.247699
      0.1678300             3.237993
      0.1688460             3.227503
      0.1698620             3.216234
      0.1708785             3.204186
      0.1718950             3.191368
      0.1729110             3.177791
      0.1739270             3.163456
      0.1749430             3.148368
      0.1759600             3.132519
      0.1769760             3.115944
      0.1779920             3.098636
      0.1790080             3.080601
      0.1800245             3.061837
      0.1810410             3.042361
      0.1820570             3.022190
      0.1830730             3.001323
      0.1840890             2.979768
      0.1851060             2.957512
      0.1861220             2.934606
      0.1871380             2.911040
      0.1881540             2.886822
      0.1891710             2.861935
      0.1901870             2.836441
      0.1912030             2.810324
      0.1922190             2.783594
      0.1932355             2.756249
      0.1942520             2.728312
      0.1952680             2.699807
      0.1962840             2.670734
      0.1973000             2.641102
      0.1983170             2.610893
      0.1993330             2.580179
      0.2003490             2.548942
      0.2013650             2.517194
      0.2023815             2.484931
      0.2033980             2.452180
      0.2044140             2.418972
      0.2054300             2.385303
      0.2064460             2.351184
      0.2074630             2.316597
      0.2084790             2.281620
      0.2094950             2.246235
      0.2105110             2.210453
      0.2115275             2.174271
      0.2125440             2.137721
      0.2135600             2.100833
      0.2145760             2.063603
      0.2155925             2.026028
      0.2166090             1.988140
      0.2176250             1.949970
      0.2186410             1.911516
      0.2196570             1.872791
      0.2206740             1.833772
      0.2216900             1.794547
      0.2227060             1.755096
      0.2237220             1.715431
      0.2247385             1.675547
      0.2257550             1.635478
      0.2267710             1.595261
      0.2277870             1.554887
      0.2288030             1.514373
      0.2298200             1.473693
      0.2308360             1.432941
      0.2318520             1.392093
      0.2328680             1.351161
      0.2338845             1.310143
      0.2349010             1.269071
      0.2359170             1.227979
      0.2369330             1.186864
      0.2379490             1.145739
      0.2389660             1.104578
      0.2399820             1.063477
      0.2409980             1.022408
      0.2420140            0.9813866
      0.2430310            0.9403871
      0.2440470            0.8995020
      0.2450630            0.8587074
      0.2460790            0.8180160
      0.2470955            0.7774217
      0.2481120            0.7369579
      0.2491280            0.6966590
      0.2501440            0.6565170
      0.2511600            0.6165469
      0.2521770            0.5767221
      0.2531930            0.5371350
      0.2542090            0.4977560
      0.2552250            0.4586028
      0.2562415            0.4196658
      0.2572580            0.3809774
      0.2582740            0.3425697
      0.2592900            0.3044341
      0.2603060            0.2665853
      0.2613230            0.2289959
      0.2623390            0.1917540
      0.2633550            0.1548322
      0.2643710            0.1182417
      0.2653875           0.08197805
      0.2664040           0.04606843
      0.2674200           0.01054514
      0.2684360           0.02460894
      0.2694525           0.05938939
      0.2704690           0.09377313
      0.2714850            0.1277329
      0.2725010            0.1612762
      0.2735170            0.1943939
      0.2745340            0.2271068
      0.2755500            0.2593432
      0.2765660            0.2911252
      0.2775820            0.3224443
      0.2785985            0.3533074
      0.2796150            0.3836910
      0.2806310            0.4135711
      0.2816470            0.4429553
      0.2826630            0.4718361
      0.2836800            0.5002351
      0.2846960            0.5280878
      0.2857120            0.5554155
      0.2867280            0.5822114
      0.2877445            0.6084827
      0.2887610            0.6342094
      0.2897770            0.6593741
      0.2907930            0.6839822
      0.2918090            0.7080295
      0.2928260            0.7315336
      0.2938420            0.7544426
      0.2948580            0.7767769
      0.2958740            0.7985295
      0.2968910            0.8197193
      0.2979070            0.8402990
      0.2989230            0.8602868
      0.2999390            0.8796794
      0.3009555            0.8984824
      0.3019720            0.9166833
      0.3029880            0.9342710
      0.3040040            0.9512523
      0.3050200            0.9676248
      0.3060370            0.9834022
      0.3070530            0.9985517
      0.3080690             1.013088
      0.3090850             1.027010
      0.3101015             1.040322
      0.3111180             1.053018
      0.3121340             1.065091
      0.3131500             1.076548
      0.3141660             1.087389
      0.3151830             1.097623
      0.3161990             1.107232
      0.3172150             1.116227
      0.3182310             1.124607
      0.3192475             1.132381
      0.3202640             1.139543
      0.3212800             1.146093
      0.3222960             1.152037
      0.3233125             1.157380
      0.3243290             1.162120
      0.3253450             1.166260
      0.3263610             1.169803
      0.3273770             1.172754
      0.3283940             1.175119
      0.3294100             1.176895
      0.3304260             1.178090
      0.3314420             1.178707
      0.3324585             1.178751
      0.3334750             1.178226
      0.3344910             1.177138
      0.3355070             1.175490
      0.3365230             1.173289
      0.3375400             1.170536
      0.3385560             1.167242
      0.3395720             1.163411
      0.3405880             1.159049
      0.3416045             1.154158
      0.3426210             1.148748
      0.3436370             1.142828
      0.3446530             1.136400
      0.3456690             1.129474
      0.3466860             1.122047
      0.3477020             1.114141
      0.3487180             1.105758
      0.3497340             1.096902
      0.3507510             1.087574
      0.3517670             1.077799
      0.3527830             1.067575
      0.3537990             1.056911
      0.3548155             1.045808
      0.3558320             1.034282
      0.3568480             1.022345
      0.3578640             1.010000
      0.3588800            0.9972560
      0.3598970            0.9841086
      0.3609130            0.9705918
      0.3619290            0.9567023
      0.3629450            0.9424490
      0.3639615            0.9278328
      0.3649780            0.9128703
      0.3659940            0.8975778
      0.3670100            0.8819579
      0.3680260            0.8660198
      0.3690430            0.8497559
      0.3700590            0.8332083
      0.3710750            0.8163708
      0.3720910            0.7992527
      0.3731075            0.7818549
      0.3741240            0.7641952
      0.3751400            0.7462921
      0.3761560            0.7281474
      0.3771725            0.7097617
      0.3781890            0.6911527
      0.3792050            0.6723400
      0.3802210            0.6533239
      0.3812370            0.6341150
      0.3822540            0.6147034
      0.3832700            0.5951374
      0.3842860            0.5754076
      0.3853020            0.5555235
      0.3863185            0.5354857
      0.3873350            0.5153132
      0.3883510            0.4950263
      0.3893670            0.4746242
      0.3903830            0.4541176
      0.3914000            0.4334952
      0.3924160            0.4128073
      0.3934320            0.3920434
      0.3944480            0.3712126
      0.3954645            0.3503147
      0.3964810            0.3293694
      0.3974970            0.3083965
      0.3985130            0.2873950
      0.3995290            0.2663736
      0.4005460            0.2453218
      0.4015620            0.2242900
      0.4025780            0.2032666
      0.4035940            0.1822608
      0.4046110            0.1612600
      0.4056270            0.1403150
      0.4066430            0.1194144
      0.4076590           0.09856571
      0.4086755           0.07776824
      0.4096920           0.05704209
      0.4107080           0.03640192
      0.4117240           0.01584929
      0.4127400          0.004604346
      0.4137570           0.02498199
      0.4147730           0.04522499
      0.4157890           0.06534983
      0.4168050           0.08534870
      0.4178215            0.1052226
      0.4188380            0.1249544
      0.4198540            0.1445268
      0.4208700            0.1639439
      0.4218860            0.1831969
      0.4229030            0.2022978
      0.4239190            0.2212019
      0.4249350            0.2399235
      0.4259510            0.2584527
      0.4269675            0.2767936
      0.4279840            0.2949307
      0.4290000            0.3128482
      0.4300160            0.3305506
      0.4310325            0.3480394
      0.4320490            0.3653000
      0.4330650            0.3823190
      0.4340810            0.3990985
      0.4350970            0.4156346
      0.4361140            0.4319374
      0.4371300            0.4479686
      0.4381460            0.4637409
      0.4391620            0.4792498
      0.4401785            0.4944975
      0.4411950            0.5094720
      0.4422110            0.5241620
      0.4432270            0.5385703
      0.4442430            0.5526940
      0.4452600            0.5665421
      0.4462760            0.5800840
      0.4472920            0.5933300
      0.4483080            0.6062764
      0.4493245            0.6189267
      0.4503410            0.6312716
      0.4513570            0.6433022
      0.4523730            0.6550218
      0.4533890            0.6664284
      0.4544060            0.6775299
      0.4554220            0.6883031
      0.4564380            0.6987565
      0.4574540            0.7088879
      0.4584710            0.7187060
      0.4594870            0.7281891
      0.4605030            0.7373465
      0.4615190            0.7461765
      0.4625355            0.7546820
      0.4635520            0.7628582
      0.4645680            0.7706998
      0.4655840            0.7782114
      0.4666000            0.7853914
      0.4676170            0.7922473
      0.4686330            0.7987645
      0.4696490            0.8049504
      0.4706650            0.8108051
      0.4716815            0.8163316
      0.4726980            0.8215272
      0.4737140            0.8263903
      0.4747300            0.8309245
      0.4757460            0.8351305
      0.4767630            0.8390129
      0.4777790            0.8425651
      0.4787950            0.8457929
      0.4798110            0.8486975
      0.4808275            0.8512815
      0.4818440            0.8535452
      0.4828600            0.8554899
      0.4838760            0.8571181
      0.4848925            0.8584328
      0.4859090            0.8594354
      0.4869250            0.8601280
      0.4879410            0.8605135
      0.4889570            0.8605943
      0.4899740            0.8603731
      0.4909900            0.8598528
      0.4920060            0.8590363
      0.4930220            0.8579268
      0.4940385            0.8565266
      0.4950550            0.8548392
      0.4960710            0.8528690
      0.4970870            0.8506191
      0.4981030            0.8480921
      0.4991200            0.8452896
      0.5001360            0.8422205
      0.5011520            0.8388860
      0.5021679            0.8352900
      0.5031846            0.8314333
      0.5042010            0.8273243
      0.5052170            0.8229671
      0.5062330            0.8183649
      0.5072490            0.8135214
      0.5082660            0.8084362
      0.5092820            0.8031235
      0.5102980            0.7975831
      0.5113140            0.7918196
      0.5123310            0.7858309
      0.5133470            0.7796339
      0.5143631            0.7732277
      0.5153790            0.7666172
      0.5163955            0.7598033
      0.5174119            0.7527953
      0.5184280            0.7455983
      0.5194440            0.7382181
      0.5204600            0.7306564
      0.5214770            0.7229130
      0.5224930            0.7150063
      0.5235090            0.7069343
      0.5245250            0.6987031
      0.5255415            0.6903121
      0.5265580            0.6817715
      0.5275740            0.6730903
      0.5285900            0.6642695
      0.5296060            0.6553151
      0.5306230            0.6462222
      0.5316390            0.6370147
      0.5326550            0.6276885
      0.5336710            0.6182486
      0.5346875            0.6086960
      0.5357040            0.5990406
      0.5367200            0.5892922
      0.5377360            0.5794510
      0.5387526            0.5695170
      0.5397690            0.5595024
      0.5407850            0.5494148
      0.5418010            0.5392559
      0.5428170            0.5290297
      0.5438340            0.5187331
      0.5448500            0.5083886
      0.5458660            0.4979933
      0.5468820            0.4875529
      0.5478985            0.4770652
      0.5489150            0.4665400
      0.5499310            0.4559909
      0.5509470            0.4454143
      0.5519630            0.4348166
      0.5529799            0.4241924
      0.5539960            0.4135647
      0.5550120            0.4029318
      0.5560280            0.3922959
      0.5570445            0.3816574
      0.5580610            0.3710257
      0.5590770            0.3604109
      0.5600930            0.3498124
      0.5611090            0.3392340
      0.5621260            0.3286708
      0.5631420            0.3181467
      0.5641580            0.3076563
      0.5651740            0.2972043
      0.5661910            0.2867835
      0.5672070            0.2764198
      0.5682230            0.2661058
      0.5692390            0.2558461
      0.5702555            0.2456394
      0.5712720            0.2354950
      0.5722880            0.2254221
      0.5733040            0.2154170
      0.5743200            0.2054860
      0.5753370            0.1956223
      0.5763530            0.1858481
      0.5773690            0.1761579
      0.5783850            0.1665542
      0.5794015            0.1570363
      0.5804180            0.1476116
      0.5814340            0.1382881
      0.5824500            0.1290647
      0.5834661            0.1199421
      0.5844830            0.1109189
      0.5854990            0.1020118
      0.5865149           0.09321588
      0.5875310           0.08453225
      0.5885475           0.07596117
      0.5895640           0.06750852
      0.5905800           0.05918192
      0.5915960           0.05097843
      0.5926125           0.04289639
      0.5936290           0.03494138
      0.5946450           0.02712010
      0.5956610           0.01943193
      0.5966770           0.01187855
      0.5976940          0.004449719
      0.5987101          0.002828427
      0.5997260          0.009974969
      0.6007420           0.01697940
      0.6017585           0.02384534
      0.6027750           0.03056796
      0.6037910           0.03714162
      0.6048070           0.04357063
      0.6058230           0.04985178
      0.6068400           0.05599196
      0.6078560           0.06197661
      0.6088720           0.06781150
      0.6098880           0.07349626
      0.6109045           0.07903227
      0.6119210           0.08441623
