#q[1/A]     |F(q)|[e/A^2]
      0.3273770           0.08530533
      0.3283940           0.07385662
      0.3294100           0.06211682
      0.3304260           0.05008592
      0.3314420           0.03777301
      0.3324585           0.02518134
      0.3334750           0.01232883
      0.3344910         0.0007745967
      0.3355070           0.01411028
      0.3365230           0.02768212
      0.3375400           0.04148855
      0.3385560           0.05549324
      0.3395720           0.06969864
      0.3405880           0.08409459
      0.3416045           0.09867775
      0.3426210            0.1134310
      0.3436370            0.1283363
      0.3446530            0.1433911
      0.3456690            0.1585840
      0.3466860            0.1739210
      0.3477020            0.1893602
      0.3487180            0.2049073
      0.3497340            0.2205523
      0.3507510            0.2362996
      0.3517670            0.2521077
      0.3527830            0.2679823
      0.3537990            0.2839130
      0.3548155            0.2998988
      0.3558320            0.3159202
      0.3568480            0.3319596
      0.3578640            0.3480151
      0.3588800            0.3640777
      0.3598970            0.3801514
      0.3609130            0.3961972
      0.3619290            0.4122193
      0.3629450            0.4282088
      0.3639615            0.4441647
      0.3649780            0.4600689
      0.3659940            0.4759056
      0.3670100            0.4916717
      0.3680260            0.5073589
      0.3690430            0.5229745
      0.3700590            0.5384780
      0.3710750            0.5538764
      0.3720910            0.5691604
      0.3731075            0.5843310
      0.3741240            0.5993702
      0.3751400            0.6142637
      0.3761560            0.6290108
      0.3771725            0.6436103
      0.3781890            0.6580476
      0.3792050            0.6723084
      0.3802210            0.6863920
      0.3812370            0.7002916
      0.3822540            0.7140129
      0.3832700            0.7275218
      0.3842860            0.7408264
      0.3853020            0.7539192
      0.3863185            0.7668000
      0.3873350            0.7794572
      0.3883510            0.7918765
      0.3893670            0.8040608
      0.3903830            0.8160021
      0.3914000            0.8277081
      0.3924160            0.8391496
      0.3934320            0.8503323
      0.3944480            0.8612534
      0.3954645            0.8719113
      0.3964810            0.8822966
      0.3974970            0.8924003
      0.3985130            0.9022226
      0.3995290            0.9117609
      0.4005460            0.9210187
      0.4015620            0.9299749
      0.4025780            0.9386357
      0.4035940            0.9469969
      0.4046110            0.9550641
      0.4056270            0.9628183
      0.4066430            0.9702649
      0.4076590            0.9774012
