#q[1/A]     |F(q)|[e/A^2]
     0.06519090             1.090029
     0.06620710             1.126513
     0.06722350             1.163092
     0.06823970             1.199740
     0.06925590             1.236443
     0.07027210             1.273183
     0.07128830             1.309945
     0.07230450             1.346703
     0.07332070             1.383444
     0.07433700             1.420147
     0.07535320             1.456800
     0.07636940             1.493376
     0.07738560             1.529861
     0.07840190             1.566239
     0.07941820             1.602489
     0.08043440             1.638593
     0.08145060             1.674534
     0.08246680             1.710296
     0.08348300             1.745859
     0.08449920             1.781204
     0.08551540             1.816316
     0.08653180             1.851181
     0.08754800             1.885774
     0.08856420             1.920083
     0.08958030             1.954089
     0.09059670             1.987781
     0.09161290             2.021133
     0.09262910             2.054135
     0.09364530             2.086770
     0.09466150             2.119021
     0.09567770             2.150871
     0.09669390             2.182307
     0.09771020             2.213313
     0.09872650             2.243873
     0.09974270             2.273972
      0.1007590             2.303600
      0.1017750             2.332728
      0.1027910             2.361353
      0.1038080             2.389488
      0.1048240             2.417063
      0.1058400             2.444094
      0.1068560             2.470569
      0.1078725             2.496484
      0.1088890             2.521817
      0.1099050             2.546542
      0.1109210             2.570661
      0.1119370             2.594160
      0.1129540             2.617052
      0.1139700             2.639281
      0.1149860             2.660859
      0.1160020             2.681774
      0.1170185             2.702029
      0.1180350             2.721601
      0.1190510             2.740473
      0.1200670             2.758646
      0.1210830             2.776110
      0.1221000             2.792876
      0.1231160             2.808899
      0.1241320             2.824192
      0.1251480             2.838746
      0.1261645             2.852561
      0.1271810             2.865624
      0.1281970             2.877923
      0.1292130             2.889458
      0.1302295             2.900230
      0.1312460             2.910227
      0.1322620             2.919442
      0.1332780             2.927874
      0.1342940             2.935521
      0.1353110             2.942385
      0.1363270             2.948450
      0.1373430             2.953720
      0.1383590             2.958194
      0.1393755             2.961870
      0.1403920             2.964746
      0.1414080             2.966820
      0.1424240             2.968092
      0.1434400             2.968563
      0.1444570             2.968232
      0.1454730             2.967099
      0.1464890             2.965167
      0.1475050             2.962436
      0.1485215             2.958907
      0.1495380             2.954582
      0.1505540             2.949466
      0.1515700             2.943562
      0.1525860             2.936871
      0.1536030             2.929390
      0.1546190             2.921138
      0.1556350             2.912111
      0.1566510             2.902315
      0.1576680             2.891745
      0.1586840             2.880425
      0.1597000             2.868352
      0.1607160             2.855533
      0.1617325             2.841966
      0.1627490             2.827665
      0.1637650             2.812645
      0.1647810             2.796906
      0.1657970             2.780457
      0.1668140             2.763286
      0.1678300             2.745439
      0.1688460             2.726907
      0.1698620             2.707698
      0.1708785             2.687812
      0.1718950             2.667269
      0.1729110             2.646088
      0.1739270             2.624271
      0.1749430             2.601828
      0.1759600             2.578746
      0.1769760             2.555083
      0.1779920             2.530828
      0.1790080             2.505991
      0.1800245             2.480573
      0.1810410             2.454597
      0.1820570             2.428090
      0.1830730             2.401051
      0.1840890             2.373492
      0.1851060             2.345400
      0.1861220             2.316844
      0.1871380             2.287807
      0.1881540             2.258306
      0.1891710             2.228323
      0.1901870             2.197932
      0.1912030             2.167118
      0.1922190             2.135895
      0.1932355             2.104262
      0.1942520             2.072250
      0.1952680             2.039887
      0.1962840             2.007176
      0.1973000             1.974129
      0.1983170             1.940730
      0.1993330             1.907060
      0.2003490             1.873101
      0.2013650             1.838868
      0.2023815             1.804361
      0.2033980             1.769612
      0.2044140             1.734654
      0.2054300             1.699485
      0.2064460             1.664122
      0.2074630             1.628545
      0.2084790             1.592841
      0.2094950             1.556990
      0.2105110             1.521008
      0.2115275             1.484893
      0.2125440             1.448680
      0.2135600             1.412402
      0.2145760             1.376056
      0.2155925             1.339643
      0.2166090             1.303195
      0.2176250             1.266745
      0.2186410             1.230293
      0.2196570             1.193853
      0.2206740             1.157406
      0.2216900             1.121039
      0.2227060             1.084731
      0.2237220             1.048499
      0.2247385             1.012339
      0.2257550            0.9762865
      0.2267710            0.9403726
      0.2277870            0.9045943
      0.2288030            0.8689681
      0.2298200            0.8334723
      0.2308360            0.7981933
      0.2318520            0.7631093
      0.2328680            0.7282350
      0.2338845            0.6935681
      0.2349010            0.6591392
      0.2359170            0.6249799
      0.2369330            0.5910868
      0.2379490            0.5574724
      0.2389660            0.5241187
      0.2399820            0.4911039
      0.2409980            0.4584083
      0.2420140            0.4260443
      0.2430310            0.3939935
      0.2440470            0.3623317
      0.2450630            0.3310384
      0.2460790            0.3001261
      0.2470955            0.2695912
      0.2481120            0.2394609
      0.2491280            0.2097606
      0.2501440            0.1804863
      0.2511600            0.1516489
      0.2521770            0.1232307
      0.2531930           0.09529848
      0.2542090           0.06783289
      0.2552250           0.04084483
      0.2562415           0.01433178
      0.2572580           0.01168760
      0.2582740           0.03719005
      0.2592900           0.06218038
      0.2603060           0.08664814
      0.2613230            0.1106110
      0.2623390            0.1340134
      0.2633550            0.1568719
      0.2643710            0.1791798
      0.2653875            0.2009403
      0.2664040            0.2221362
      0.2674200            0.2427515
      0.2684360            0.2627908
      0.2694525            0.2822580
      0.2704690            0.3011375
      0.2714850            0.3194159
      0.2725010            0.3370982
      0.2735170            0.3541802
      0.2745340            0.3706730
      0.2755500            0.3865420
      0.2765660            0.4017988
      0.2775820            0.4164417
      0.2785985            0.4304736
      0.2796150            0.4438860
      0.2806310            0.4566699
      0.2816470            0.4688300
      0.2826630            0.4803658
      0.2836800            0.4912859
      0.2846960            0.5015686
      0.2857120            0.5112243
      0.2867280            0.5202522
      0.2877445            0.5286573
      0.2887610            0.5364351
      0.2897770            0.5435829
      0.2907930            0.5501055
      0.2918090            0.5560049
      0.2928260            0.5612873
      0.2938420            0.5659444
      0.2948580            0.5699839
      0.2958740            0.5734083
      0.2968910            0.5762231
      0.2979070            0.5784255
      0.2989230            0.5800226
      0.2999390            0.5810177
      0.3009555            0.5814152
      0.3019720            0.5812184
      0.3029880            0.5804322
      0.3040040            0.5790620
      0.3050200            0.5771128
      0.3060370            0.5745866
      0.3070530            0.5714945
      0.3080690            0.5678402
      0.3090850            0.5636295
      0.3101015            0.5588666
      0.3111180            0.5535597
      0.3121340            0.5477189
      0.3131500            0.5413485
      0.3141660            0.5344562
      0.3151830            0.5270416
      0.3161990            0.5191268
      0.3172150            0.5107134
      0.3182310            0.5018094
      0.3192475            0.4924175
      0.3202640            0.4825515
      0.3212800            0.4722251
      0.3222960            0.4614424
      0.3233125            0.4502069
      0.3243290            0.4385327
