# XRR profile for DPPE monolayer. Qz in Å⁻1, R adimensional. λ=0.545~0.690 Å. From 10.1103/PhysRevLett.100.058103
0.01935519857206605, 0.893641961060625
0.020351246254860733, 0.6576737202152662
0.020351246254860733, 0.4727318682553647
0.02084927009625806, 0.3241411626283073
0.021845317779052742, 0.21201588633499466
0.021845317779052742, 0.18404038928999042
0.02333938930324475, 0.12971257545562973
0.023754409171075852, 0.10656818121818108
0.023754409171075852, 0.09851123016428237
0.024169429038906953, 0.08417868158933328
0.025829508510231414, 0.07053148760634576
0.027074568113724773, 0.059096800401712134
0.027074568113724773, 0.05049871710735979
0.027904607849387003, 0.04231177743042056
0.029149667452880335, 0.0361557726347986
0.029979707188542565, 0.03277180653547621
0.031639786659867025, 0.025759716845700855
0.031639786659867025, 0.021689816229125594
0.032469826395529255, 0.018173425571235597
0.03329986613119146, 0.015529346268413163
0.03329986613119146, 0.014075891467495133
0.03537496547034702, 0.010795612710355383
0.03828010454516481, 0.00891305590650504
0.03952516414865814, 0.007653795795053825
0.04035520388432037, 0.0067028972828037416
0.04243030322347596, 0.006045767430923319
0.044505402562631496, 0.005373270688918406
0.04699552176961819, 0.004682637616217314
0.04782556150528042, 0.004244370479493479
0.04907062110877375, 0.003847122550078555
0.05073070058009821, 0.0031606870162373957
0.05280579991925377, 0.0027008338592431334
0.05488089925840933, 0.002496640769336842
0.057371018465395995, 0.0020211564873107175
0.059446117804551585, 0.0015577766492053992
0.06110619727587602, 0.0014119779845088076
0.06235125687936938, 0.0013052271947296427
0.06567141582201827, 0.0011374647423506433
0.07065165423599165, 0.0008810023293996633
0.07563189264996495, 0.0007528239617180648
0.07936707146044497, 0.0006307748342355368
0.08144217079960059, 0.0005390024450728018
0.08434730987441832, 0.00042576043506609737
0.08808248868489835, 0.0003710369240934095
0.0934777469667028, 0.0002817868946046496
0.10094810458766285, 0.00019020053485203074
0.1096635218121162, 0.00014731631497554186
0.11630383969741404, 0.00010547466341230659
0.12211411784704962, 0.00007701599000344312
0.13041451520367187, 0.00005541305155416609
0.1341496940141519, 0.00004106259682951116
0.13995997216378747, 0.00003057839019451363
0.1436951509742675, 0.000027177024194825313
0.14701530991691641, 0.000023222997646325986
0.15116550859522748, 0.000018708040298218228
0.15614574700920086, 0.000014207967556475349
0.15988092581968089, 0.000010580353152449823
0.1632010847623298, 0.000008035331971161933
0.16859634304413423, 0.000006223618122407672
0.1710864622511209, 0.0000054236888510123105
0.1729540516563609, 0.000004477897016645505
0.17731176026858764, 0.000003253666175264948
0.18177322384777206, 0.000002341014787993275
0.18478211788954768, 0.0000018674391065789702
0.1874797470304499, 0.000001432246717826265
0.1905923960391832, 9.61999652874896e-7
0.19391255498183213, 6.121523197887099e-7
0.2055331112811033, 2.3253506234647102e-7
0.2163236278447122, 2.6814547935637597e-7
0.22711414440832117, 4.980090610450071e-7
0.24911019740337015, 0.000001040678846142049
0.2599007139669791, 0.000001266692663909781
0.2711062503984191, 0.0000013436235706701901
0.28106672722636583, 0.0000013436235706701901
0.2935173232612992, 0.0000012178683652891715
0.30264776035358376, 0.0000011481377355937003
0.31385329678502377, 0.000001061334250415759
0.32547385308429494, 9.069191175118906e-7
0.33501931004441055, 7.598878158820381e-7
0.34788492594717496, 6.00238774515512e-7
0.3582604226429528, 4.649038680982244e-7
0.3690509392065618, 3.2638110481485747e-7
0.37984145577017087, 2.540375901399495e-7
0.39073572730073786, 1.7316361894642037e-7
0.4018375087652197, 1.1978899256766082e-7
0.41221300546099754, 6.90914381183129e-8
0.4230035220246064, 4.4837797333690726e-8
0.43379403858821536, 2.4500733944049808e-8
