_date,total_clones,unique_clones
2024-11-11,1,1
2024-11-12,3,1
2024-11-13,3,3
2024-11-14,1,1
2024-11-15,1,1
2024-11-16,1,1
2024-11-17,1,1
2024-11-18,1,1
2024-11-19,1,1
2024-11-20,1,1
2024-11-21,2,2
2024-11-22,2,2
2024-11-23,1,1
2024-11-24,1,1
2024-11-25,1,1
2024-11-26,1,1
