#Temp 45

#Sam PSM Beam n D2Opct 100
#Q(Angstrom |F| sigmaF
#Sam PSM Beam x D2Opct 0
#Q(Angstrom |F| sigmaF
0.25	2.0422	0.03
0.251	1.8726	0.03
0.252	1.7138	0.03
0.253	1.6472	0.03
0.254	1.4603	0.03
0.255	1.3468	0.03
0.256	1.2248	0.03
0.257	1.1477	0.03
0.258	1.0193	0.03
0.259	0.931101	0.03
0.26	0.867099	0.03
0.261	0.515199	0.03
0.262	-0.160997	0.03
0.263	0.244499	0.03
0.264	-0.4605	0.03
0.265	-0.446296	0.03
0.266	-0.551897	0.03
0.267	-0.237108	0.03
0.268	-0.0035	0.03
0.269	0.331693	0.03
0.27	0.415704	0.03
0.271	0.546498	0.03
0.272	0.732803	0.03
0.273	0.777097	0.03
0.274	0.8501	0.03
0.275	1.0746	0.03
0.276	1.2464	0.03
0.277	1.4205	0.03
0.278	1.4839	0.03
0.279	1.5625	0.03
0.28	1.6665	0.03
0.281	1.738	0.03
0.282	1.8238	0.03
0.283	1.931	0.03
0.284	2.0708	0.03
0.285	2.2065	0.03
0.286	2.3417	0.03
0.287	2.3986	0.03
0.288	2.4451	0.03
0.289	2.6397	0.03
0.29	2.7299	0.03
0.291	2.7565	0.03
0.292	2.7623	0.03
0.293	2.8966	0.03
0.294	2.9784	0.03
0.295	3.0736	0.03
0.296	3.1353	0.03
0.297	3.1854	0.03
0.298	3.2504	0.03
0.299	3.3126	0.03
0.3	3.3503	0.03
0.301	3.4363	0.03
0.302	3.5312	0.03
0.303	3.5704	0.03
0.304	3.6314	0.03
0.305	3.7011	0.03
0.306	3.7375	0.03
0.307	3.812	0.03
0.308	3.8815	0.03
0.309	3.9195	0.03
0.31	3.9227	0.03
0.311	3.9312	0.03
0.312	3.9975	0.03
0.313	4.0504	0.03
0.314	4.072	0.03
0.315	4.0689	0.03
0.316	4.122	0.03
0.317	4.1783	0.03
0.318	4.2238	0.03
0.319	4.2466	0.03
0.32	4.2535	0.03
0.321	4.2625	0.03
0.322	4.2564	0.03
0.323	4.2281	0.03
0.324	4.2632	0.03
0.325	4.2485	0.03
0.326	4.2498	0.03
0.327	4.2931	0.03
0.328	4.2988	0.03
0.329	4.2742	0.03
0.33	4.2663	0.03
0.331	4.2421	0.03
0.332	4.2399	0.03
0.333	4.2463	0.03
0.334	4.2393	0.03
0.335	4.1851	0.03
0.336	4.1666	0.03
0.337	4.1027	0.03
0.338	4.087	0.03
0.339	4.129	0.03
0.34	4.1237	0.03
0.341	4.0598	0.03
0.342	4.0103	0.03
0.343	4.0397	0.03
0.344	3.9981	0.03
0.345	3.9933	0.03
0.346	3.9342	0.03
0.347	3.9105	0.03
0.348	3.8954	0.03
0.349	3.9158	0.03
0.35	3.8025	0.03
0.351	3.7663	0.03
0.352	3.6993	0.03
0.353	3.6387	0.03
0.354	3.6073	0.03
0.355	3.5008	0.03
0.356	3.563	0.03
0.357	3.5391	0.03
0.358	3.5058	0.03
0.359	3.4183	0.03
0.36	3.3353	0.03
0.361	3.2829	0.03
0.362	3.1978	0.03
0.363	3.1348	0.03
0.364	3.1094	0.03
0.365	3.0207	0.03
0.366	2.9136	0.03
0.367	2.827	0.03
0.368	2.7948	0.03
0.369	2.7576	0.03
0.37	2.7808	0.03
0.371	2.6742	0.03
0.372	2.5226	0.03
0.373	2.4256	0.03
0.374	2.407	0.03
0.375	2.3838	0.03
0.376	2.297	0.03
0.377	2.0266	0.03
0.378	2.0149	0.03
0.379	1.9761	0.03
0.38	1.8163	0.03
0.381	1.8484	0.03
0.382	1.7875	0.03
0.383	1.6165	0.03
0.384	1.461	0.03
0.385	1.2729	0.03
0.386	1.3252	0.03
0.387	1.3602	0.03
0.388	1.3263	0.03
0.389	1.137	0.03
0.39	1.0615	0.03
0.391	1.0062	0.03
0.392	0.919299	0.03
0.393	0.8774	0.03
0.394	1.0166	0.03
0.395	0.8911	0.03
0.396	0.647897	0.03
0.397	-0.222194	0.03
0.398	0.552802	0.03
0.399	0.727997	0.03
0.4	0.475205	0.03
0.401	0.213892	0.03
0.402	-0.657199	0.03
0.403	-0.6634	0.03
0.404	-0.5895	0.03
0.405	-0.103779	0.03
0.406	0.5497	0.03
0.407	0.633198	0.03
0.408	-0.555401	0.03
0.409	-0.427306	0.03
0.41	0.246698	0.03
0.411	0.474004	0.03
0.412	0.797001	0.03
0.413	0.503299	0.03
0.414	0.876299	0.03
0.415	1.0006	0.03
0.416	0.885201	0.03
0.417	0.942597	0.03
0.418	0.8226	0.03
0.419	1.0143	0.03
0.42	1.1256	0.03
0.421	1.3531	0.03
0.422	1.4857	0.03
0.423	1.6149	0.03
0.424	1.6124	0.03
0.425	1.5273	0.03
0.426	1.6041	0.03
0.427	1.8921	0.03
0.428	1.9184	0.03
0.429	1.8364	0.03
0.43	1.9494	0.03
0.431	1.9902	0.03
0.432	2.0951	0.03
0.433	2.0121	0.03
0.434	1.8809	0.03
0.435	2.1681	0.03
0.436	2.3035	0.03
0.437	2.3744	0.03
0.438	2.4763	0.03
0.439	2.4371	0.03
0.44	2.4222	0.03
0.441	2.5186	0.03
0.442	2.5947	0.03
0.443	2.6566	0.03
0.444	2.7201	0.03
0.445	2.8166	0.03
0.446	2.7882	0.03
0.447	2.8518	0.03
0.448	2.9512	0.03
0.449	2.9224	0.03
0.45	2.9129	0.03
0.451	2.9491	0.03
0.452	3.1039	0.03
0.453	3.0098	0.03
0.454	3.0565	0.03
0.455	3.1506	0.03
0.456	3.2365	0.03
0.457	3.2366	0.03
0.458	3.2726	0.03
0.459	3.2629	0.03
0.46	3.3557	0.03
0.461	3.2986	0.03
0.462	3.5324	0.03
0.463	3.6113	0.03
0.464	3.6892	0.03
0.465	3.624	0.03
0.466	3.6053	0.03
0.467	3.6463	0.03
0.468	3.5639	0.03
0.469	3.637	0.03
0.47	3.6946	0.03
0.471	3.7256	0.03
0.472	3.736	0.03
0.473	3.6727	0.03
0.474	3.6839	0.03
0.475	3.7705	0.03
0.476	3.7119	0.03
0.477	3.7789	0.03
0.478	3.751	0.03
0.479	3.8589	0.03
0.48	3.8451	0.03
0.481	3.8643	0.03
0.482	3.8315	0.03
0.483	3.7686	0.03
0.484	3.8583	0.03
0.485	3.9143	0.03
0.486	3.8965	0.03
0.487	3.8456	0.03
0.488	3.721	0.03
0.489	3.6688	0.03
0.49	3.7659	0.03
0.491	3.6989	0.03
0.492	3.8881	0.03
0.493	3.9094	0.03
0.494	3.8439	0.03
0.495	3.8157	0.03
0.496	3.8383	0.03
0.497	3.8196	0.03
0.498	3.7856	0.03
0.499	3.8158	0.03
0.5	3.723	0.03
0.501	3.7298	0.03
0.502	3.6886	0.03
0.503	3.6222	0.03
0.504	3.5762	0.03
0.505	3.5686	0.03
0.506	3.5934	0.03
0.507	3.535	0.03
