# DPPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.jcis.2005.09.050
33.22751322751323,70.86757990867581
34.920634920634924,70.8907733565268
36.402116402116405,69.54120460969777
37.03703703703704,66.26223091976517
37.46031746031746,63.52830325433066
38.0952380952381,59.70138435891862
38.730158730158735,56.69638327172574
39.36507936507937,52.8694643763137
40,48.768572878161926
40.423280423280424,44.66478219902878
41.05820105820106,40.01594549539755
41.904761904761905,36.46589838370661
42.53968253968254,32.36500688555484
43.17460317460318,28.812060592882517
44.232804232804234,24.71696745669349
45.07936507936508,21.440892947742263
46.13756613756614,18.441690222512143
47.61904761904763,15.448285859244763
49.31216931216931,13.82764369065739
51.216931216931215,12.483873305791121
54.39153439153439,11.705443212292536
56.71957671957672,11.18938899760819
59.682539682539684,10.682032325867937
63.91534391534392,9.918098137276232
66.24338624338625,9.12807131985214
69.20634920634922,7.798796839892731
72.38095238095238,5.924476335435244
75.34391534391534,4.595201855475835
77.88359788359789,3.8080742190331307
80.63492063492063,2.749873160832067
83.17460317460318,1.9627455243893621
86.13756613756614,1.1814162499093896
