Atom_name  Hydrogen	OP	      STD	   STDmean
     C1	      HR     0.07019	   0.15764	   0.00705
       	      HS    -0.02782	   0.05905	   0.00264
       	      HT    -0.02553	   0.05837	   0.00261
       	     AVG     0.00562	   0.11255	   0.00291

     C2	      HR     0.07084	   0.15769	   0.00705
       	      HS    -0.02317	   0.06213	   0.00278
       	      HT    -0.02920	   0.05831	   0.00261
       	     AVG     0.00616	   0.11317	   0.00292

     C3	      HR     0.07074	   0.15760	   0.00705
       	      HS    -0.02487	   0.05933	   0.00265
       	      HT    -0.02424	   0.06147	   0.00275
       	     AVG     0.00721	   0.11283	   0.00291

     C5	      HR     0.04021	   0.12255	   0.00548
       	      HS     0.00327	   0.13365	   0.00598
       	     AVG     0.02174	   0.12955	   0.00410

     C6	      HR     0.13356	   0.15991	   0.00715
       	      HS     0.13602	   0.16732	   0.00748
       	     AVG     0.13479	   0.16366	   0.00518

    C12	      HR    -0.29058	   0.08550	   0.00382
       	      HS    -0.15951	   0.16056	   0.00718
       	     AVG    -0.22505	   0.14436	   0.00457

    C13	      HR    -0.14602	   0.16204	   0.00725
       	     AVG    -0.14602	   0.16204	   0.00725

    C17	      HR    -0.17487	   0.09459	   0.00423
       	      HS    -0.18463	   0.06704	   0.00300
       	     AVG    -0.17975	   0.08212	   0.00260

    C18	      HR    -0.18113	   0.06520	   0.00292
       	      HS    -0.18733	   0.05234	   0.00234
       	     AVG    -0.18423	   0.05920	   0.00187

    C19	      HR    -0.20714	   0.05076	   0.00227
       	      HS    -0.20719	   0.04797	   0.00215
       	     AVG    -0.20717	   0.04938	   0.00156

    C20	      HR    -0.21091	   0.04282	   0.00191
       	      HS    -0.20676	   0.04114	   0.00184
       	     AVG    -0.20883	   0.04204	   0.00133

    C21	      HR    -0.19784	   0.03650	   0.00163
       	      HS    -0.19178	   0.03863	   0.00173
       	     AVG    -0.19481	   0.03770	   0.00119

    C22	      HR    -0.20201	   0.03659	   0.00164
       	      HS    -0.19760	   0.03638	   0.00163
       	     AVG    -0.19981	   0.03655	   0.00116

    C23	      HR    -0.16270	   0.03096	   0.00138
       	      HS    -0.15763	   0.03290	   0.00147
       	     AVG    -0.16016	   0.03204	   0.00101

    C24	      HR    -0.09827	   0.03421	   0.00153
       	     AVG    -0.09827	   0.03421	   0.00153

    C25	      HR     0.00715	   0.05465	   0.00244
       	     AVG     0.00715	   0.05465	   0.00244

    C26	      HR    -0.09596	   0.03090	   0.00138
       	      HS    -0.09748	   0.03218	   0.00144
       	     AVG    -0.09672	   0.03156	   0.00100

    C27	      HR    -0.13533	   0.03447	   0.00154
       	      HS    -0.13566	   0.03514	   0.00157
       	     AVG    -0.13549	   0.03481	   0.00110

    C28	      HR    -0.10760	   0.03010	   0.00135
       	      HS    -0.10817	   0.03013	   0.00135
       	     AVG    -0.10788	   0.03012	   0.00095

    C29	      HR    -0.12091	   0.02944	   0.00132
       	      HS    -0.12109	   0.02904	   0.00130
       	     AVG    -0.12100	   0.02924	   0.00092

    C30	      HR    -0.09703	   0.02467	   0.00110
       	      HS    -0.09684	   0.02430	   0.00109
       	     AVG    -0.09693	   0.02448	   0.00077

    C31	      HR    -0.09617	   0.02150	   0.00096
       	      HS    -0.09588	   0.02119	   0.00095
       	     AVG    -0.09602	   0.02135	   0.00068

    CA1	      HR    -0.06581	   0.01501	   0.00067
       	      HS    -0.06585	   0.01487	   0.00066
       	     AVG    -0.06583	   0.01494	   0.00047

    CA2	      HR     0.02682	   0.01807	   0.00081
       	      HS    -0.06548	   0.01503	   0.00067
       	      HT    -0.06556	   0.01489	   0.00067
       	     AVG    -0.03474	   0.04640	   0.00120

    C32	      HR     0.18108	   0.24720	   0.01106
       	      HS     0.02276	   0.17324	   0.00775
       	     AVG     0.10192	   0.22765	   0.00720

    C36	      HR    -0.23442	   0.06151	   0.00275
       	      HS    -0.21161	   0.06713	   0.00300
       	     AVG    -0.22301	   0.06538	   0.00207

    C37	      HR    -0.23618	   0.04402	   0.00197
       	      HS    -0.22026	   0.04951	   0.00221
       	     AVG    -0.22822	   0.04752	   0.00150

    C38	      HR    -0.23116	   0.04253	   0.00190
       	      HS    -0.22057	   0.04461	   0.00200
       	     AVG    -0.22587	   0.04390	   0.00139

    C39	      HR    -0.22939	   0.03764	   0.00168
       	      HS    -0.22443	   0.03819	   0.00171
       	     AVG    -0.22691	   0.03800	   0.00120

    C40	      HR    -0.21936	   0.03571	   0.00160
       	      HS    -0.21412	   0.03540	   0.00158
       	     AVG    -0.21674	   0.03565	   0.00113

    C41	      HR    -0.21440	   0.03459	   0.00155
       	      HS    -0.21307	   0.03485	   0.00156
       	     AVG    -0.21374	   0.03472	   0.00110

    C42	      HR    -0.20251	   0.03371	   0.00151
       	      HS    -0.20077	   0.03363	   0.00150
       	     AVG    -0.20164	   0.03368	   0.00107

    C43	      HR    -0.19265	   0.03430	   0.00153
       	      HS    -0.19285	   0.03415	   0.00153
       	     AVG    -0.19275	   0.03423	   0.00108

    C44	      HR    -0.17599	   0.03311	   0.00148
