# POPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.chemphyslip.2006.11.002
48.41659120703869, 51.66839210174209
49.80957143436364, 49.318052195537284
50.942384884648135, 46.70578854184967
51.900366260761444, 44.87751212985362
53.03280128664297, 42.52668567798786
53.7309943101188, 40.17504831668715
54.863050911597355, 38.08565906664323
55.908637536997745, 35.734670432890475
57.21590463705046, 32.59985673933315
58.34833966293199, 30.24903028746739
59.48058547661202, 28.028922436512545
60.78614966685137, 26.07057615115351
61.918395480531416, 23.850468300198663
63.04931680880108, 22.545390655620267
64.1806165614737, 20.978875809220035
65.5728399399927, 19.15141030665891
67.05115487018692, 17.84698138962846
68.09541701017692, 16.41102296225216
69.40003513940886, 15.106269681447735
70.7918800935249, 13.540241380708466
72.53092943736401, 12.10558040842804
74.2701679934046, 10.540200835236718
75.74791528699437, 9.627927720939027
77.57381303131463, 8.193428930545608
79.13821951318404, 7.41203659904582
80.87689043262019, 6.238812828587257
82.52814531497074, 5.457582678974461
84.1794001973213, 4.676352529361665
86.09120028111528, 3.895608925409846
87.56856915030207, 3.2447730129340044
89.3064832209323, 2.5944236461191252
90.87051127839874, 2.074468516441172
92.34788014758553, 1.4236326039653306
94.08560500601423, 0.9040018380613759
95.47517941371248, 0.9065967482531505
97.12567744725709, 0.6482410022840668
98.94930464515956, 0.7823654228216981
