#q[1/A]     |F(q)|[e/A^2]
      0.0000000            0.0000000
     0.07230450             1.486833
     0.07332070             1.528561
     0.07433700             1.570274
     0.07535320             1.611953
     0.07636940             1.653573
     0.07738560             1.695115
     0.07840190             1.736563
     0.07941820             1.777895
     0.08043440             1.819089
     0.08145060             1.860126
     0.08246680             1.900990
     0.08348300             1.941658
     0.08449920             1.982110
     0.08551540             2.022327
     0.08653180             2.062296
     0.08754800             2.101987
     0.08856420             2.141386
     0.08958030             2.180475
     0.09059670             2.219239
     0.09161290             2.257652
     0.09262910             2.295698
     0.09364530             2.333362
     0.09466150             2.370624
     0.09567770             2.407464
     0.09669390             2.443866
     0.09771020             2.479815
     0.09872650             2.515293
     0.09974270             2.550280
      0.1007590             2.584766
      0.1017750             2.618719
      0.1027910             2.652134
      0.1038080             2.685028
      0.1048240             2.717320
      0.1058400             2.749027
      0.1068560             2.780136
      0.1078725             2.810645
      0.1088890             2.840524
      0.1099050             2.869746
      0.1109210             2.898312
      0.1119370             2.926207
      0.1129540             2.953446
      0.1139700             2.979962
      0.1149860             3.005770
      0.1160020             3.030856
      0.1170185             3.055223
      0.1180350             3.078845
      0.1190510             3.101701
      0.1200670             3.123790
      0.1210830             3.145105
      0.1221000             3.165653
      0.1231160             3.185385
      0.1241320             3.204313
      0.1251480             3.222426
      0.1261645             3.239727
      0.1271810             3.256197
      0.1281970             3.271821
      0.1292130             3.286601
      0.1302295             3.300535
      0.1312460             3.313611
      0.1322620             3.325816
      0.1332780             3.337151
      0.1342940             3.347611
      0.1353110             3.357201
      0.1363270             3.365896
      0.1373430             3.373704
      0.1383590             3.380620
      0.1393755             3.386644
      0.1403920             3.391770
      0.1414080             3.395993
      0.1424240             3.399315
      0.1434400             3.401733
      0.1444570             3.403249
      0.1454730             3.403858
      0.1464890             3.403562
      0.1475050             3.402361
      0.1485215             3.400255
      0.1495380             3.397245
      0.1505540             3.393335
      0.1515700             3.388525
      0.1525860             3.382817
      0.1536030             3.376209
      0.1546190             3.368714
      0.1556350             3.360332
      0.1566510             3.351065
      0.1576680             3.340908
      0.1586840             3.329885
      0.1597000             3.317993
      0.1607160             3.305235
      0.1617325             3.291613
      0.1627490             3.277137
      0.1637650             3.261822
      0.1647810             3.245668
      0.1657970             3.228683
      0.1668140             3.210856
      0.1678300             3.192231
      0.1688460             3.172799
      0.1698620             3.152569
      0.1708785             3.131539
      0.1718950             3.109729
      0.1729110             3.087158
      0.1739270             3.063830
      0.1749430             3.039752
      0.1759600             3.014910
      0.1769760             2.989367
      0.1779920             2.963106
      0.1790080             2.936142
      0.1800245             2.908473
      0.1810410             2.880123
      0.1820570             2.851120
      0.1830730             2.821463
      0.1840890             2.791164
      0.1851060             2.760208
      0.1861220             2.728668
      0.1871380             2.696527
      0.1881540             2.663801
      0.1891710             2.630471
      0.1901870             2.596615
      0.1912030             2.562218
      0.1922190             2.527294
      0.1932355             2.491840
      0.1942520             2.455889
      0.1952680             2.419475
      0.1962840             2.382596
      0.1973000             2.345267
      0.1983170             2.307468
      0.1993330             2.269289
      0.2003490             2.230711
      0.2013650             2.191747
      0.2023815             2.152397
      0.2033980             2.112696
      0.2044140             2.072681
      0.2054300             2.032350
      0.2064460             1.991719
      0.2074630             1.950765
      0.2084790             1.909586
      0.2094950             1.868160
      0.2105110             1.826503
      0.2115275             1.784612
      0.2125440             1.742526
      0.2135600             1.700281
      0.2145760             1.657876
      0.2155925             1.615308
      0.2166090             1.572614
      0.2176250             1.529833
      0.2186410             1.486962
      0.2196570             1.444017
      0.2206740             1.400975
      0.2216900             1.357937
      0.2227060             1.314879
      0.2237220             1.271818
      0.2247385             1.228750
      0.2257550             1.185712
      0.2267710             1.142746
      0.2277870             1.099844
      0.2288030             1.057025
      0.2298200             1.014264
      0.2308360            0.9716610
      0.2318520            0.9291918
      0.2328680            0.8868710
      0.2338845            0.8446969
      0.2349010            0.8027044
      0.2359170            0.7609308
      0.2369330            0.7193725
      0.2379490            0.6780437
      0.2389660            0.6369212
