# DOPS surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.colsurfb.2020.111189
29.93243243243242, 43.19196428571429
33.65709459459461, 42.103794642857146
36.31756756756758, 40.73660714285714
38.44594594594594, 38.839285714285715
40.33783783783784, 37.05357142857143
42.22972972972974, 35.21205357142857
43.88513513513513, 33.31473214285714
46.013513513513516, 30.80357142857143
47.43243243243242, 28.878348214285715
49.14695945945945, 26.59040178571428
50.50675675675677, 24.665178571428573
52.04391891891893, 22.628348214285726
53.58108108108107, 20.53571428571429
55.47297297297297, 18.30357142857143
57.12837837837836, 16.434151785714292
59.02027027027029, 14.620535714285722
61.38513513513513, 12.41629464285716
63.986486486486484, 10.379464285714285
67.77027027027029, 7.8125
71.37668918918922, 5.859374999999993
75.10135135135135, 4.241071428571431
78.8851351351351, 2.9017857142857153
83.37837837837836, 1.7857142857142918
89.29054054054055, 1.3950892857142918
94.96621621621622, 1.2276785714285765
