# DPPC surface pressure-area per lipid isotherm. APL in Å², π in mN/m. From 10.1016/j.bbamem.2016.09.015
39.09297052154196, 50.237467018469665
41.45124716553288, 46.01583113456465
42.72108843537415, 41.79419525065964
44.17233560090703, 37.57255936675462
45.62358276643991, 33.35092348284961
46.893424036281175, 29.1292875989446
48.707482993197274, 24.69656992084434
51.06575963718821, 21.108179419525072
53.60544217687075, 17.519788918205805
56.68934240362812, 14.986807387862811
60.49886621315193, 12.875989445910292
64.48979591836735, 11.820580474934033
68.29931972789115, 10.97625329815304
72.10884353741497, 10.131926121372032
75.55555555555556, 8.232189973614766
79.36507936507937, 6.1213720316622755
83.17460317460318, 4.854881266490764
87.1655328798186, 3.3773087071240155
90.97505668934241, 2.3218997361477562
94.96598639455782, 1.266490765171497
98.77551020408163, 0.4221635883905037
102.76643990929705, 0.4221635883905037
107.12018140589569, 0.21108179419525186
110.56689342403628, 0
114.7392290249433, 0
118.73015873015872, 0
123.08390022675736, 0
126.71201814058956, 0
131.2471655328798, 0
135.05668934240362, 0
