#q[1/A]     |F(q)|[e/A^2]
     0.06519090            0.9649670
     0.06620710            0.9978983
     0.06722350             1.030965
     0.06823970             1.064145
     0.06925590             1.097427
     0.07027210             1.130796
     0.07128830             1.164240
     0.07230450             1.197738
     0.07332070             1.231277
     0.07433700             1.264844
     0.07535320             1.298425
     0.07636940             1.331999
     0.07738560             1.365555
     0.07840190             1.399079
     0.07941820             1.432554
     0.08043440             1.465964
     0.08145060             1.499295
     0.08246680             1.532534
     0.08348300             1.565665
     0.08449920             1.598670
     0.08551540             1.631537
     0.08653180             1.664254
     0.08754800             1.696800
     0.08856420             1.729165
     0.08958030             1.761332
     0.09059670             1.793291
     0.09161290             1.825021
     0.09262910             1.856512
     0.09364530             1.887750
     0.09466150             1.918721
     0.09567770             1.949409
     0.09669390             1.979801
     0.09771020             2.009886
     0.09872650             2.039648
     0.09974270             2.069073
      0.1007590             2.098153
      0.1017750             2.126861
      0.1027910             2.155195
      0.1038080             2.183170
      0.1048240             2.210716
      0.1058400             2.237851
      0.1068560             2.264562
      0.1078725             2.290849
      0.1088890             2.316689
      0.1099050             2.342056
      0.1109210             2.366953
      0.1119370             2.391367
      0.1129540             2.415313
      0.1139700             2.438732
      0.1149860             2.461637
      0.1160020             2.484019
      0.1170185             2.505876
      0.1180350             2.527190
      0.1190510             2.547940
      0.1200670             2.568127
      0.1210830             2.587743
      0.1221000             2.606798
      0.1231160             2.625245
      0.1241320             2.643095
      0.1251480             2.660339
      0.1261645             2.676980
      0.1271810             2.693000
      0.1281970             2.708385
      0.1292130             2.723135
      0.1302295             2.737252
      0.1312460             2.750722
      0.1322620             2.763531
      0.1332780             2.775681
      0.1342940             2.787168
      0.1353110             2.797994
      0.1363270             2.808136
      0.1373430             2.817599
      0.1383590             2.826378
      0.1393755             2.834474
      0.1403920             2.841878
      0.1414080             2.848584
      0.1424240             2.854592
      0.1434400             2.859900
      0.1444570             2.864509
      0.1454730             2.868408
      0.1464890             2.871601
      0.1475050             2.874084
      0.1485215             2.875858
      0.1495380             2.876920
      0.1505540             2.877270
      0.1515700             2.876908
      0.1525860             2.875834
      0.1536030             2.874045
      0.1546190             2.871546
      0.1556350             2.868337
      0.1566510             2.864418
      0.1576680             2.859785
      0.1586840             2.854451
      0.1597000             2.848411
      0.1607160             2.841670
      0.1617325             2.834224
      0.1627490             2.826082
      0.1637650             2.817249
      0.1647810             2.807725
      0.1657970             2.797516
      0.1668140             2.786612
      0.1678300             2.775041
      0.1688460             2.762796
      0.1698620             2.749882
      0.1708785             2.736296
      0.1718950             2.722052
      0.1729110             2.707162
      0.1739270             2.691625
      0.1749430             2.675447
      0.1759600             2.658617
      0.1769760             2.641176
      0.1779920             2.623114
      0.1790080             2.604439
      0.1800245             2.585147
      0.1810410             2.565257
      0.1820570             2.544785
      0.1830730             2.523730
      0.1840890             2.502101
      0.1851060             2.479884
      0.1861220             2.457131
      0.1871380             2.433831
      0.1881540             2.409992
      0.1891710             2.385598
      0.1901870             2.360708
      0.1912030             2.335309
      0.1922190             2.309409
      0.1932355             2.283005
      0.1942520             2.256123
      0.1952680             2.228783
      0.1962840             2.200985
      0.1973000             2.172740
      0.1983170             2.144029
      0.1993330             2.114921
      0.2003490             2.085399
      0.2013650             2.055474
      0.2023815             2.025142
      0.2033980             1.994431
      0.2044140             1.963368
      0.2054300             1.931948
      0.2064460             1.900186
      0.2074630             1.868060
      0.2084790             1.835646
      0.2094950             1.802926
